Game,Team,Opponent,Player,PlayerID,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PlusMinus,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
1,DEN,MIN,Nikola Jokić,jokicni01,40:06,11,19,0.579,2,7,0.286,1,1,1,1,12,13,11,1,0,5,3,25,22.9,9,0.643,0.632,0.368,0.053,2.7,31.2,17.3,53,1.2,0,20.5,25.3,113,101,10.4
1,DEN,MIN,Jamal Murray,murraja01,39:28,7,22,0.318,0,8,0,16,16,1,0,5,5,7,0,0,2,2,30,21,13,0.517,0.318,0.364,0.727,0,13.2,6.8,28.9,0,0,6.4,32.7,112,107,1.3
1,DEN,MIN,Christian Braun,braunch01,35:40,4,10,0.4,2,3,0.667,2,2,1,1,7,8,1,0,0,0,2,12,9.3,0,0.551,0.5,0.3,0.2,3.1,20.5,12,4.1,0,0,0,12.7,117,106,-0.2
1,DEN,MIN,Cameron Johnson,johnsca02,33:04,5,12,0.417,2,7,0.286,0,0,,0,0,0,1,0,0,1,1,12,4.9,5,0.5,0.5,0.583,0,0,0,0,4.7,0,0,7.7,16.3,90,110,-4.2
1,DEN,MIN,Aaron Gordon,gordoaa01,29:15,5,10,0.5,1,5,0.2,6,8,0.75,4,4,8,3,0,0,1,3,17,15.1,8,0.629,0.55,0.5,0.8,14.9,14.3,14.6,16.5,0,0,6.9,20.6,134,107,5.1
1,DEN,MIN,Tim Hardaway Jr.,hardati02,24:13,2,6,0.333,1,3,0.333,2,2,1,0,3,3,1,1,1,2,1,7,4.5,9,0.509,0.417,0.5,0.333,0,12.9,6.6,5.8,1.9,3.7,22.5,15.2,82,100,-1.5
1,DEN,MIN,Bruce Brown,brownbr01,21:05,3,7,0.429,1,2,0.5,1,1,1,2,5,7,3,5,0,1,2,8,12.5,7,0.538,0.5,0.286,0.143,10.3,24.7,17.7,21.9,11.1,0,11.8,16.6,115,80,16.1
1,DEN,MIN,Spencer Jones,jonessp01,9:15,1,1,1,1,1,1,2,3,0.667,0,0,0,0,0,0,0,0,5,4.3,2,1.078,1.5,1,3,0,0,0,0,0,0,0,10.4,198,110,9.8
1,DEN,MIN,Jonas Valančiūnas,valanjo01,7:54,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,3,0,-1.3,2,,,,,0,39.6,20.3,0,0,0,100,5.3,0,101,-15.5
2,DEN,MIN,Jamal Murray,murraja01,42:40,11,25,0.44,6,14,0.429,2,2,1,3,4,7,7,1,0,4,0,30,22.1,-4,0.58,0.56,0.56,0.08,7.5,9.6,8.6,30.7,1.1,0,13.4,31.1,107,117,5.3
2,DEN,MIN,Nikola Jokić,jokicni01,40:16,8,20,0.4,1,7,0.143,7,7,1,0,15,15,8,0,1,3,3,24,19.8,1,0.52,0.425,0.35,0.35,0,38,19.4,33.5,0,2.1,11.5,28.7,104,112,3.2
2,DEN,MIN,Aaron Gordon,gordoaa01,36:53,3,9,0.333,1,4,0.25,1,2,0.5,0,7,7,4,0,0,0,4,8,5.8,-1,0.405,0.389,0.444,0.222,0,19.4,9.9,15.3,0,0,0,11.9,97,117,-4.5
2,DEN,MIN,Christian Braun,braunch01,35:21,5,9,0.556,1,3,0.333,5,7,0.714,0,3,3,5,2,0,0,1,16,16.9,4,0.662,0.611,0.333,0.778,0,8.7,4.4,21.8,2.6,0,0,15.2,144,114,7.3
2,DEN,MIN,Cameron Johnson,johnsca02,28:09,5,10,0.5,1,6,0.167,2,2,1,0,1,1,2,1,0,0,5,13,8.7,-10,0.597,0.55,0.6,0.2,0,3.6,1.9,11.6,1.7,0,0,17.1,121,116,-0.8
2,DEN,MIN,Tim Hardaway Jr.,hardati02,27:21,4,9,0.444,3,3,1,5,8,0.625,1,2,3,0,1,0,0,3,16,11.2,4,0.639,0.611,0.333,0.889,3.9,7.5,5.7,0,1.7,0,0,20.3,126,116,2.4
2,DEN,MIN,Bruce Brown,brownbr01,16:28,2,4,0.5,2,4,0.5,1,2,0.5,0,3,3,2,0,0,1,3,7,4.7,-11,0.717,0.75,1,0.5,0,18.6,9.5,18.1,0,0,17,15.8,117,117,1
2,DEN,MIN,Spencer Jones,jonessp01,9:59,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,3,0,-1.6,-4,,,,,0,20.5,10.5,0,0,0,100,4.4,0,115,-13.5
2,DEN,MIN,Jonas Valančiūnas,valanjo01,2:54,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,2,0,0.2,-4,,,,,36.8,35.2,36,0,0,0,,0,231,110,-14.1
